TIME,DISTANCE,MARKERS,SPEED,SPEEDANGLE,SPEEDLAT,VELOCITY,YAWRATE,ACCELERATIONLAT,ACCELERATIONLONG,ACCELERATIONVERT,SUSPENSIONLOADFL,SUSPENSIONLOADFR,SUSPENSIONLOADRL,SUSPENSIONLOADRR,SUSPENSIONTRAVELFL,SUSPENSIONTRAVELFR,SUSPENSIONTRAVELRL,SUSPENSIONTRAVELRR,SUSPENSIONCONTACTDEPTHFL,SUSPENSIONCONTACTDEPTHFR,SUSPENSIONCONTACTDEPTHRL,SUSPENSIONCONTACTDEPTHRR,SUSPENSIONCONTACTSPEEDFL,SUSPENSIONCONTACTSPEEDFR,SUSPENSIONCONTACTSPEEDRL,SUSPENSIONCONTACTSPEEDRR,SUSPENSIONSPRINGFORCEFL,SUSPENSIONSPRINGFORCEFR,SUSPENSIONSPRINGFORCERL,SUSPENSIONSPRINGFORCERR,SUSPENSIONDAMPERFORCEFL,SUSPENSIONDAMPERFORCEFR,SUSPENSIONDAMPERFORCERL,SUSPENSIONDAMPERFORCERR,WHEELSPINFL,WHEELSPINFR,WHEELSPINRL,WHEELSPINRR,WHEELSHAFTTORQUEFL,WHEELSHAFTTORQUEFR,WHEELSHAFTTORQUERL,WHEELSHAFTTORQUERR,WHEELBRAKETORQUEFL,WHEELBRAKETORQUEFR,WHEELBRAKETORQUERL,WHEELBRAKETORQUERR,TIRESLIPLONGFL,TIRESLIPLONGFR,TIRESLIPLONGRL,TIRESLIPLONGRR,TIRESLIPLATFL,TIRESLIPLATFR,TIRESLIPLATRL,TIRESLIPLATRR,TIREFORCELONGFL,TIREFORCELONGFR,TIREFORCELONGRL,TIREFORCELONGRR,TIREFORCELATFL,TIREFORCELATFR,TIREFORCELATRL,TIREFORCELATRR,RIDEHEIGHTFRONT,RIDEHEIGHTREAR,ROLLANGLEFRONT,ROLLANGLEREAR,GROUNDSLOPE,GROUNDGRADE,GEAR,STEERINGANGLE,THROTTLE,BRAKEPRESSURE,TORQUEDIFFFRONT,TORQUEDIFFREAR,SPEEDDIFFFRONT,SPEEDDIFFREAR,PITCHRATE,ROLLRATE,SLIPRATIOFL,SLIPRATIOFR,SLIPRATIORL,SLIPRATIORR,SLIPANGLEFL,SLIPANGLEFR,SLIPANGLERL,SLIPANGLERR,LAPDISTANCE,TOTALDISTANCE,FORCEFEEDBACKFORCERATIO,FORCEFEEDBACKDAMPERRATIO,POSITIONX,POSITIONY,POSITIONZ,MOTORRPMFRONT,MOTORRPMREAR,POWERELECTRICALFRONT,POWERELECTRICALREAR,POWERELECTRICALTOTAL,POWERBALANCE,WHEELTORQUEBALANCE,EFFICIENCYFRONT,EFFICIENCYREAR,TORQUEMECHANICALFRONT,TORQUEMECHANICALREAR,TORQUEROTORFRONT,TORQUEROTORREAR,919SPEED,IDRSPEED,919TRAVELEDDISTANCE,IDRTRAVELEDDISTANCE,919TIMEDIFF,IDRTIMEDIFF
29.440001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000088,33170.630000,33187.390000,33012.170000,33028.950000,0.037943,0.037845,0.048875,0.048777,0.022057,0.022155,0.021125,0.021223,11.028510,11.077340,10.562500,10.611340,3748.583000,3767.344000,3591.216000,3607.824000,29421.000000,29421.000000,29421.000000,29421.000000,-0.000002,0.000000,-0.000002,0.000000,0.000000,0.000000,0.004540,-0.002510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000198,0.000198,0.000202,0.000202,0.014175,0.002425,0.029309,-0.005943,-167.738000,-167.822700,-169.818600,-169.904900,0.007894,0.018826,-0.019782,-0.019782,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.007050,-0.000002,-0.000002,-0.000003,-0.000349,0.000000,0.000000,0.000000,0.000000,0.191933,0.191991,0.194691,0.194750,1.463846,1.463846,NaN,NaN,9.911128,0.007894,195.572400,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,0.000000,1.463800,1.463800,1.463800,1.463800,29.402300,29.400470
29.450001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,-2.115060,0.010583,-1.791262,3080.925000,3157.676000,2879.418000,2954.646000,0.039134,0.039015,0.050176,0.050058,0.020866,0.020985,0.019824,0.019942,-0.155821,-0.135139,-0.165239,-0.144526,3546.028000,3568.640000,3370.014000,3390.148000,-467.460000,-405.412100,-495.712200,-433.575000,-0.001210,-0.001258,-0.001210,-0.001258,0.000000,0.000000,-0.148286,-0.029664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.010928,-0.010928,-0.011014,-0.011014,-1.517650,-0.898517,-2.011937,-0.906317,858.257100,879.637700,808.480900,829.603600,0.009074,0.020117,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.007050,-0.000002,-0.000002,-0.000003,-0.000349,0.000000,0.000000,0.000000,0.000000,0.191933,0.191991,0.194691,0.194750,1.463846,1.463846,NaN,NaN,9.911128,0.007894,195.572400,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,0.000000,1.463800,1.463800,1.463800,1.463800,29.402300,29.400470
29.460001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.813372,0.004175,-2.266398,2974.959000,2910.958000,2773.941000,2707.688000,0.040456,0.040398,0.051567,0.051509,0.019544,0.019602,0.018433,0.018491,-0.113532,-0.142142,-0.118539,-0.147149,3321.833000,3332.804000,3133.552000,3143.391000,-340.592600,-426.422500,-355.612800,-441.442700,-0.000232,-0.000332,-0.000313,-0.000251,0.000000,0.000000,-0.134403,-0.047642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014128,0.014125,0.014239,0.014239,-1.864539,-0.508021,-0.988938,-1.676053,-1071.432000,-1048.141000,-1006.898000,-982.849200,0.010427,0.021538,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.086762,0.000100,-0.000062,-0.001989,-0.020432,0.000000,0.000000,-0.000015,-0.000060,5.131059,5.100578,5.078316,5.047399,1.464044,1.464044,NaN,NaN,9.911114,0.010679,195.572500,0.000000,-0.028000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.064000,1.464016,1.464016,1.464016,1.464016,29.422290,29.420460
29.470001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,-2.049999,0.000423,-2.606085,2782.876000,2846.070000,2588.652000,2650.862000,0.041621,0.041532,0.052756,0.052666,0.018379,0.018468,0.017244,0.017334,-0.114620,-0.096977,-0.115290,-0.097647,3123.509000,3140.434000,2931.405000,2946.685000,-343.855900,-290.927500,-345.867500,-292.939100,0.000580,0.000658,0.000637,0.000602,0.000000,0.000000,-0.373792,-0.420458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.009763,-0.009756,-0.009823,-0.009823,-0.560847,-1.560077,-2.251468,-1.526794,692.599600,707.811300,648.214300,663.791900,0.011576,0.022711,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.086762,0.000100,-0.000062,-0.001989,-0.020432,0.000000,0.000000,-0.000015,-0.000060,5.131059,5.100578,5.078316,5.047399,1.464044,1.464044,NaN,NaN,9.911114,0.010679,195.572500,0.000000,-0.028000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.064000,1.464016,1.464016,1.464016,1.464016,29.422290,29.420460
29.480001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,1.321657,-0.007385,-2.801368,2749.894000,2721.352000,2568.856000,2539.100000,0.042508,0.042464,0.053626,0.053582,0.017492,0.017536,0.016374,0.016418,-0.073746,-0.087753,-0.070587,-0.084579,2973.232000,2981.458000,2783.564000,2791.021000,-221.235400,-263.256300,-211.758400,-253.734500,0.001353,0.001308,0.001316,0.001344,0.000000,0.000000,-0.794368,-0.790385,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006376,0.006391,0.006434,0.006434,-1.051187,-0.445879,-2.647892,-2.634616,-446.927300,-443.349100,-421.331300,-416.450800,0.012486,0.023604,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.003983,0.000045,-0.000028,0.001233,-0.010002,0.000000,0.000000,-0.000160,-0.000192,2.268781,2.268243,2.251244,2.244909,1.464252,1.464252,NaN,NaN,9.911121,0.012633,195.572500,0.000000,0.269000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.287000,1.464238,1.464238,1.464238,1.464238,29.442290,29.440460
29.490001,1.464,0,0.000000,0.000000,0.000000,0.000000,0.000000,-0.890894,-0.018222,-2.857713,2693.758000,2719.957000,2528.574000,2554.227000,0.043156,0.043109,0.054225,0.054178,0.016844,0.016891,0.015775,0.015822,-0.057176,-0.050530,-0.051096,-0.044450,2863.023000,2871.778000,2681.791000,2689.765000,-171.525600,-151.588100,-153.286800,-133.349200,0.001709,0.001732,0.001733,0.001708,0.000000,0.000000,-0.972454,-1.024876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004293,-0.004273,-0.004329,-0.004329,-0.150566,-0.470897,-3.241512,-3.416255,294.801900,296.298000,279.071200,281.902300,0.013133,0.024201,-0.019782,-0.019782,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.003983,0.000045,-0.000028,0.001233,-0.010002,0.000000,0.000000,-0.000160,-0.000192,2.268781,2.268243,2.251244,2.244909,1.464252,1.464252,NaN,NaN,9.911121,0.012633,195.572500,0.000000,0.269000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.287000,1.464238,1.464238,1.464238,1.464238,29.442290,29.440460
29.500001,1.464,0,-0.000069,72.149510,0.000011,0.016894,-0.000020,0.719471,-0.024248,-2.783743,2737.005000,2717.080000,2588.666000,2568.121000,0.043513,0.043498,0.054509,0.054494,0.016487,0.016502,0.015491,0.015506,-0.021771,-0.030413,-0.013947,-0.022620,2802.702000,2805.481000,2633.403000,2635.936000,-65.311180,-91.238950,-41.842070,-67.859250,0.001774,0.001762,0.001754,0.001782,0.000000,0.000000,-1.011337,-1.008984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003543,0.003563,0.003605,0.003605,0.003158,0.163972,-3.110064,-3.363281,-247.212700,-246.820400,-237.922000,-236.033600,0.013505,0.024502,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.002353,0.000012,-0.000029,0.003045,-0.006164,0.000000,0.000000,-0.000186,-0.000219,1.259363,1.264257,1.263889,1.261441,1.464360,1.464360,NaN,NaN,9.911124,0.013539,195.572500,0.000000,0.336000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.333000,1.464353,1.464353,1.464353,1.464353,29.462290,29.460450
29.510001,1.464,0,-0.000069,72.149510,0.000011,0.016894,-0.000020,-0.737942,-0.021624,-2.588272,2781.084000,2798.629000,2648.171000,2665.689000,0.043613,0.043600,0.054527,0.054514,0.016387,0.016400,0.015473,0.015486,-0.002369,0.003383,0.006080,0.011832,2785.725000,2788.158000,2630.444000,2632.663000,-7.107789,10.147600,18.238850,35.494240,0.001573,0.001576,0.001595,0.001555,0.000000,0.000000,-0.870615,-0.908311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003782,-0.003764,-0.003845,-0.003845,0.354381,0.300445,-2.813185,-2.461730,268.115100,268.515500,259.596600,261.314000,0.013606,0.024520,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.002353,0.000012,-0.000029,0.003045,-0.006164,0.000000,0.000000,-0.000186,-0.000219,1.259363,1.264257,1.263889,1.261441,1.464360,1.464360,NaN,NaN,9.911124,0.013539,195.572500,0.000000,0.336000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.333000,1.464353,1.464353,1.464353,1.464353,29.462290,29.460450
29.520001,1.464,0,-0.000069,72.149510,0.000011,0.016894,-0.000020,0.963061,-0.012067,-2.297033,2907.472000,2874.836000,2788.326000,2755.821000,0.043440,0.043459,0.054270,0.054289,0.016560,0.016541,0.015730,0.015711,0.030935,0.019878,0.039190,0.028193,2815.372000,2811.781000,2674.081000,2670.829000,92.803590,59.633900,117.569100,84.578220,0.001255,0.001262,0.001227,0.001290,0.000000,0.000000,-0.721354,-0.686979,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004868,0.004882,0.004990,0.004990,0.462059,0.394761,-1.601485,-2.236124,-360.802800,-357.812800,-354.664400,-350.529900,0.013449,0.024280,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.034376,-0.000007,-0.000063,0.003223,-0.007883,0.000000,0.000000,-0.000097,-0.000157,1.757332,1.757374,1.781878,1.776571,1.464455,1.464455,NaN,NaN,9.911124,0.013381,195.572400,0.000000,0.231000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.220000,1.464446,1.464446,1.464446,1.464446,29.482280,29.480450
29.530001,1.465,0,-0.000069,72.149510,0.000011,0.016894,-0.000020,-1.481750,-0.002004,-1.924331,3005.182000,3041.009000,2896.100000,2932.503000,0.043057,0.043063,0.053810,0.053816,0.016943,0.016937,0.016190,0.016184,0.040352,0.054419,0.047594,0.061661,2880.295000,2879.191000,2752.199000,2751.196000,121.055900,163.255700,142.781600,184.981400,0.000901,0.000875,0.000946,0.000830,0.000000,0.000000,-0.459364,-0.520001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.007820,-0.007810,-0.008025,-0.008025,0.335950,0.628816,-1.531213,-0.574733,599.109900,605.461300,592.488700,599.936300,0.013060,0.023813,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-0.034376,-0.000007,-0.000063,0.003223,-0.007883,0.000000,0.000000,-0.000097,-0.000157,1.757332,1.757374,1.781878,1.776571,1.464455,1.464455,NaN,NaN,9.911124,0.013381,195.572400,0.000000,0.231000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.882000,0.000000,0.000000,0.000000,-0.220000,1.464446,1.464446,1.464446,1.464446,29.482280,29.480450
